"vertex","cluster","color"
1883,445,"#EFC000FF"
1884,165,"#CD534CFF"
1893,445,"#EFC000FF"
1894,599,"white"
1896,533,"#8F7700FF"
1898,1406,"#7AA6DCFF"
1899,533,"#8F7700FF"
1900,533,"#8F7700FF"
1903,445,"#EFC000FF"
1904,264,"white"
1906,116,"#0073C2FF"
1908,445,"#EFC000FF"
1909,584,"#3B3B3BFF"
1910,445,"#EFC000FF"
925,445,"#EFC000FF"
656,445,"#EFC000FF"
1923,1406,"#7AA6DCFF"
1925,584,"#3B3B3BFF"
1927,600,"white"
1929,165,"#CD534CFF"
1934,116,"#0073C2FF"
1935,1406,"#7AA6DCFF"
1937,182,"#868686FF"
1938,165,"#CD534CFF"
2025,445,"#EFC000FF"
2026,1406,"#7AA6DCFF"
2027,165,"#CD534CFF"
2042,445,"#EFC000FF"
2045,445,"#EFC000FF"
2046,1406,"#7AA6DCFF"
2047,533,"#8F7700FF"
2049,445,"#EFC000FF"
2201,838,"white"
2203,2,"white"
2204,182,"#868686FF"
2208,848,"white"
2210,1406,"#7AA6DCFF"
2211,165,"#CD534CFF"
2213,1406,"#7AA6DCFF"
2214,445,"#EFC000FF"
2218,445,"#EFC000FF"
2220,116,"#0073C2FF"
2222,601,"white"
1431,584,"#3B3B3BFF"
2322,116,"#0073C2FF"
2323,848,"white"
536,116,"#0073C2FF"
39,1406,"#7AA6DCFF"
7847,584,"#3B3B3BFF"
7848,165,"#CD534CFF"
7849,445,"#EFC000FF"
7850,116,"#0073C2FF"
7851,445,"#EFC000FF"
7853,445,"#EFC000FF"
2338,1406,"#7AA6DCFF"
7858,326,"white"
622,445,"#EFC000FF"
7861,445,"#EFC000FF"
7862,445,"#EFC000FF"
7865,488,"#003C67FF"
7873,751,"white"
7874,1406,"#7AA6DCFF"
2340,1406,"#7AA6DCFF"
7879,116,"#0073C2FF"
7880,445,"#EFC000FF"
7881,445,"#EFC000FF"
7882,445,"#EFC000FF"
7884,584,"#3B3B3BFF"
7886,165,"#CD534CFF"
7889,445,"#EFC000FF"
7891,602,"white"
7893,445,"#EFC000FF"
7894,445,"#EFC000FF"
7896,182,"#868686FF"
7898,165,"#CD534CFF"
7899,1406,"#7AA6DCFF"
7913,1406,"#7AA6DCFF"
7914,116,"#0073C2FF"
