"vertex","cluster","color"
79438,1750,"#7AA6DCFF"
31898,1789,"#003C67FF"
10236,977,"#0073C2FF"
79439,1306,"#CD534CFF"
36721,903,"#868686FF"
36722,903,"#868686FF"
36723,903,"#868686FF"
79440,1049,"white"
13194,1407,"#3B3B3BFF"
79441,977,"#0073C2FF"
79442,977,"#0073C2FF"
57662,418,"#EFC000FF"
79443,977,"#0073C2FF"
79444,1789,"#003C67FF"
57663,418,"#EFC000FF"
79445,2390,"white"
79446,2715,"white"
57664,1306,"#CD534CFF"
79448,277,"white"
31268,3491,"white"
79454,977,"#0073C2FF"
56729,977,"#0073C2FF"
21786,418,"#EFC000FF"
79455,977,"#0073C2FF"
13896,977,"#0073C2FF"
72021,977,"#0073C2FF"
79456,2716,"white"
79458,278,"white"
244,977,"#0073C2FF"
79459,977,"#0073C2FF"
31899,418,"#EFC000FF"
79460,977,"#0073C2FF"
79461,1750,"#7AA6DCFF"
79462,977,"#0073C2FF"
79463,977,"#0073C2FF"
79464,977,"#0073C2FF"
21787,418,"#EFC000FF"
46106,903,"#868686FF"
79465,279,"white"
36730,903,"#868686FF"
79466,903,"#868686FF"
51603,1185,"#4A6990FF"
79467,977,"#0073C2FF"
79468,977,"#0073C2FF"
79469,977,"#0073C2FF"
79470,1346,"#8F7700FF"
64409,977,"#0073C2FF"
43042,1789,"#003C67FF"
79471,977,"#0073C2FF"
79472,977,"#0073C2FF"
79473,1306,"#CD534CFF"
4568,1407,"#3B3B3BFF"
21789,418,"#EFC000FF"
42291,1346,"#8F7700FF"
79475,1306,"#CD534CFF"
21790,418,"#EFC000FF"
28766,1346,"#8F7700FF"
79476,977,"#0073C2FF"
79477,2390,"white"
79478,1407,"#3B3B3BFF"
17439,1306,"#CD534CFF"
79480,977,"#0073C2FF"
64410,1750,"#7AA6DCFF"
42292,977,"#0073C2FF"
79481,1750,"#7AA6DCFF"
10783,977,"#0073C2FF"
79482,1056,"white"
79483,2717,"white"
57667,418,"#EFC000FF"
7616,1306,"#CD534CFF"
79487,1306,"#CD534CFF"
79488,977,"#0073C2FF"
79489,977,"#0073C2FF"
70863,977,"#0073C2FF"
19561,418,"#EFC000FF"
79490,977,"#0073C2FF"
79491,977,"#0073C2FF"
12584,1789,"#003C67FF"
79493,977,"#0073C2FF"
79494,977,"#0073C2FF"
3853,903,"#868686FF"
27903,977,"#0073C2FF"
70111,977,"#0073C2FF"
1480,977,"#0073C2FF"
79495,1049,"white"
57670,1789,"#003C67FF"
77280,265,"white"
10385,977,"#0073C2FF"
29213,1789,"#003C67FF"
21792,418,"#EFC000FF"
1172,903,"#868686FF"
79498,977,"#0073C2FF"
8014,977,"#0073C2FF"
45533,1789,"#003C67FF"
79506,1750,"#7AA6DCFF"
36733,903,"#868686FF"
79507,280,"white"
66904,977,"#0073C2FF"
36734,903,"#868686FF"
79508,977,"#0073C2FF"
79509,977,"#0073C2FF"
79510,1750,"#7AA6DCFF"
15928,977,"#0073C2FF"
79511,977,"#0073C2FF"
79512,977,"#0073C2FF"
79513,977,"#0073C2FF"
9648,418,"#EFC000FF"
31487,1076,"white"
79514,977,"#0073C2FF"
21793,1789,"#003C67FF"
79515,1750,"#7AA6DCFF"
79516,977,"#0073C2FF"
57671,418,"#EFC000FF"
79517,2718,"white"
49268,928,"white"
9115,1789,"#003C67FF"
79535,265,"white"
13897,977,"#0073C2FF"
31900,1789,"#003C67FF"
79537,977,"#0073C2FF"
79538,1750,"#7AA6DCFF"
36737,903,"#868686FF"
79539,1532,"white"
6949,977,"#0073C2FF"
79540,1407,"#3B3B3BFF"
11433,1346,"#8F7700FF"
79541,977,"#0073C2FF"
79542,977,"#0073C2FF"
79543,2719,"white"
79546,977,"#0073C2FF"
79547,977,"#0073C2FF"
50015,1789,"#003C67FF"
79549,977,"#0073C2FF"
43565,1789,"#003C67FF"
75143,977,"#0073C2FF"
8683,977,"#0073C2FF"
20259,977,"#0073C2FF"
33392,977,"#0073C2FF"
79550,977,"#0073C2FF"
79519,928,"white"
79551,1750,"#7AA6DCFF"
79552,977,"#0073C2FF"
79553,977,"#0073C2FF"
50369,977,"#0073C2FF"
79554,977,"#0073C2FF"
13898,977,"#0073C2FF"
8016,977,"#0073C2FF"
55365,1185,"#4A6990FF"
79555,1346,"#8F7700FF"
79556,977,"#0073C2FF"
79557,977,"#0073C2FF"
26323,1306,"#CD534CFF"
8017,977,"#0073C2FF"
53075,977,"#0073C2FF"
15929,977,"#0073C2FF"
6536,903,"#868686FF"
79558,977,"#0073C2FF"
20659,977,"#0073C2FF"
27904,977,"#0073C2FF"
79559,2720,"white"
5780,977,"#0073C2FF"
79562,928,"white"
70747,418,"#EFC000FF"
29214,1789,"#003C67FF"
79563,977,"#0073C2FF"
79564,1750,"#7AA6DCFF"
79565,903,"#868686FF"
4099,977,"#0073C2FF"
79566,418,"#EFC000FF"
5781,1407,"#3B3B3BFF"
18391,1346,"#8F7700FF"
79569,1306,"#CD534CFF"
3967,1750,"#7AA6DCFF"
79570,977,"#0073C2FF"
27697,1407,"#3B3B3BFF"
14349,977,"#0073C2FF"
79571,977,"#0073C2FF"
30730,977,"#0073C2FF"
79572,2721,"white"
43472,977,"#0073C2FF"
3333,903,"#868686FF"
46175,1306,"#CD534CFF"
79579,977,"#0073C2FF"
6811,1306,"#CD534CFF"
45067,903,"#868686FF"
21794,418,"#EFC000FF"
1252,903,"#868686FF"
79698,977,"#0073C2FF"
