"","vertex","cluster","color"
"19992",61886,445,"#EFC000FF"
"19993",5002,138,"#A73030FF"
"19994",61887,215,"#4A6990FF"
"19995",42822,182,"#868686FF"
"19996",61888,671,"white"
"19997",27191,116,"#0073C2FF"
"19998",61889,445,"#EFC000FF"
"19999",61890,165,"#CD534CFF"
"20000",42823,182,"#868686FF"
"20001",61891,882,"white"
"20002",61892,445,"#EFC000FF"
"20003",50095,445,"#EFC000FF"
"20004",14569,445,"#EFC000FF"
"20005",5006,1406,"#7AA6DCFF"
"20006",47992,165,"#CD534CFF"
"20007",5007,1406,"#7AA6DCFF"
"20008",61896,1406,"#7AA6DCFF"
"20009",58590,445,"#EFC000FF"
"20010",34248,584,"#3B3B3BFF"
"20011",61897,445,"#EFC000FF"
"20012",37403,848,"white"
"20013",36492,445,"#EFC000FF"
"20014",61902,445,"#EFC000FF"
"20015",61903,584,"#3B3B3BFF"
"20016",61904,1352,"white"
"20017",61906,1406,"#7AA6DCFF"
"20018",61908,533,"#8F7700FF"
"20019",61909,138,"#A73030FF"
"20020",49426,199,"white"
"20021",61910,445,"#EFC000FF"
"20022",61911,515,"white"
"20023",35019,165,"#CD534CFF"
"20024",17238,445,"#EFC000FF"
"20025",56817,165,"#CD534CFF"
"20026",11504,445,"#EFC000FF"
"20027",61913,1353,"white"
"20028",61915,584,"#3B3B3BFF"
"20029",10271,1245,"white"
"20030",56818,165,"#CD534CFF"
"20031",61917,533,"#8F7700FF"
"20032",61918,215,"#4A6990FF"
"20033",17233,445,"#EFC000FF"
"20034",20616,165,"#CD534CFF"
"20035",61919,533,"#8F7700FF"
"20036",5015,1406,"#7AA6DCFF"
"20037",20617,182,"#868686FF"
"20038",61920,138,"#A73030FF"
"20039",12416,116,"#0073C2FF"
"20040",61922,116,"#0073C2FF"
"20041",61923,445,"#EFC000FF"
"20042",14154,165,"#CD534CFF"
"20043",810,488,"#003C67FF"
"20044",10001,445,"#EFC000FF"
"20045",61924,215,"#4A6990FF"
"20046",16347,182,"#868686FF"
"20047",2109,445,"#EFC000FF"
"20048",61925,533,"#8F7700FF"
"20049",40184,182,"#868686FF"
"20050",54833,200,"white"
"20051",19199,165,"#CD534CFF"
"20052",61926,1406,"#7AA6DCFF"
"20053",59742,1127,"white"
"20054",61931,138,"#A73030FF"
"20055",61932,445,"#EFC000FF"
"20056",477,165,"#CD534CFF"
"20057",61938,1406,"#7AA6DCFF"
"20058",61939,445,"#EFC000FF"
"20059",16348,584,"#3B3B3BFF"
"20060",61940,1354,"white"
"20061",37728,445,"#EFC000FF"
"20062",61942,848,"white"
"20063",5021,1406,"#7AA6DCFF"
"20064",27222,116,"#0073C2FF"
"20065",20619,182,"#868686FF"
"20066",61943,138,"#A73030FF"
"20067",1612,488,"#003C67FF"
"20068",14155,215,"#4A6990FF"
"20069",20620,182,"#868686FF"
"20070",53518,445,"#EFC000FF"
"20071",61945,138,"#A73030FF"
"20072",61946,445,"#EFC000FF"
"20073",27227,138,"#A73030FF"
"20074",61947,182,"#868686FF"
"20075",61948,215,"#4A6990FF"
"20076",61949,138,"#A73030FF"
"20077",37359,201,"white"
"20078",61954,445,"#EFC000FF"
"20079",61955,138,"#A73030FF"
"20080",52896,165,"#CD534CFF"
"20081",51142,445,"#EFC000FF"
"20082",8935,182,"#868686FF"
"20083",61956,1258,"white"
"20084",54376,182,"#868686FF"
"20085",936,445,"#EFC000FF"
"20086",61962,445,"#EFC000FF"
"20087",5027,445,"#EFC000FF"
"20088",61964,138,"#A73030FF"
"20089",20623,182,"#868686FF"
"20090",21768,445,"#EFC000FF"
"20091",61965,1355,"white"
"20092",52897,165,"#CD534CFF"
"20093",61967,445,"#EFC000FF"
"20094",49464,445,"#EFC000FF"
"20095",15325,445,"#EFC000FF"
"20096",61968,138,"#A73030FF"
"20097",61969,445,"#EFC000FF"
"20098",27239,116,"#0073C2FF"
"20099",5028,1406,"#7AA6DCFF"
"20100",61970,165,"#CD534CFF"
"20101",34773,182,"#868686FF"
"20102",61971,165,"#CD534CFF"
"20103",15326,488,"#003C67FF"
"20104",20624,165,"#CD534CFF"
"20105",61972,445,"#EFC000FF"
"20106",53519,445,"#EFC000FF"
"20107",61973,138,"#A73030FF"
"20108",61974,445,"#EFC000FF"
"20109",60340,313,"white"
"20110",11507,488,"#003C67FF"
"20111",11882,165,"#CD534CFF"
"20112",13650,848,"white"
"20113",61997,138,"#A73030FF"
"20114",27247,116,"#0073C2FF"
"20115",56826,165,"#CD534CFF"
"20116",11883,165,"#CD534CFF"
"20117",19384,165,"#CD534CFF"
"20118",14381,165,"#CD534CFF"
"20119",5030,1406,"#7AA6DCFF"
"20120",5031,1406,"#7AA6DCFF"
"20121",12099,488,"#003C67FF"
"20122",62002,138,"#A73030FF"
"20123",10833,116,"#0073C2FF"
"20124",27253,116,"#0073C2FF"
"20125",8270,165,"#CD534CFF"
"20126",37729,445,"#EFC000FF"
"20127",62003,445,"#EFC000FF"
"20128",9484,165,"#CD534CFF"
"20129",18681,165,"#CD534CFF"
"20130",20626,182,"#868686FF"
"20131",62004,533,"#8F7700FF"
"20132",20627,182,"#868686FF"
"20133",15434,165,"#CD534CFF"
"20134",15555,116,"#0073C2FF"
"20135",42837,182,"#868686FF"
"20136",62006,116,"#0073C2FF"
"20137",15028,165,"#CD534CFF"
"20138",62007,445,"#EFC000FF"
"20139",12197,138,"#A73030FF"
"20140",62017,1127,"white"
"20141",62018,394,"white"
"20142",27259,116,"#0073C2FF"
"20143",42838,533,"#8F7700FF"
"20144",62019,1356,"white"
"20145",19936,165,"#CD534CFF"
"20146",62021,202,"white"
"20147",48912,138,"#A73030FF"
"20148",62022,138,"#A73030FF"
"20149",22980,182,"#868686FF"
"20150",62023,138,"#A73030FF"
"20151",62024,116,"#0073C2FF"
"20152",62025,445,"#EFC000FF"
"20153",62026,246,"white"
"20154",27265,116,"#0073C2FF"
"20155",62027,445,"#EFC000FF"
"20156",20628,182,"#868686FF"
"20157",62028,182,"#868686FF"
"20158",62029,445,"#EFC000FF"
"20159",20629,182,"#868686FF"
"20160",8936,445,"#EFC000FF"
"20161",11884,165,"#CD534CFF"
"20162",62030,445,"#EFC000FF"
"20163",62031,445,"#EFC000FF"
"20164",62032,445,"#EFC000FF"
"20165",62033,445,"#EFC000FF"
"20166",62034,445,"#EFC000FF"
"20167",5043,445,"#EFC000FF"
"20168",62036,445,"#EFC000FF"
"20169",12922,445,"#EFC000FF"
"20170",27268,116,"#0073C2FF"
"20171",8271,165,"#CD534CFF"
"20172",27269,116,"#0073C2FF"
"20173",62042,165,"#CD534CFF"
"20174",62043,138,"#A73030FF"
"20175",62044,138,"#A73030FF"
"20176",62045,445,"#EFC000FF"
"20177",62046,488,"#003C67FF"
"20178",20631,182,"#868686FF"
"20179",62047,533,"#8F7700FF"
"20180",27272,116,"#0073C2FF"
"20181",11508,445,"#EFC000FF"
"20182",17300,116,"#0073C2FF"
"20183",40835,584,"#3B3B3BFF"
"20184",62048,445,"#EFC000FF"
"20185",62049,445,"#EFC000FF"
"20186",40185,182,"#868686FF"
"20187",5044,1406,"#7AA6DCFF"
"20188",27274,116,"#0073C2FF"
"20189",16349,165,"#CD534CFF"
"20190",268,116,"#0073C2FF"
"20191",53920,445,"#EFC000FF"
"20192",19084,165,"#CD534CFF"
"20193",62050,488,"#003C67FF"
"20194",62051,445,"#EFC000FF"
"20195",23313,1406,"#7AA6DCFF"
"20196",17904,182,"#868686FF"
"20197",62053,1024,"white"
"20198",62054,445,"#EFC000FF"
"20199",36403,445,"#EFC000FF"
"20200",54817,445,"#EFC000FF"
"20201",15327,584,"#3B3B3BFF"
"20202",46165,165,"#CD534CFF"
"20203",62056,445,"#EFC000FF"
"20204",62057,165,"#CD534CFF"
"20205",62058,445,"#EFC000FF"
"20206",62059,445,"#EFC000FF"
"20207",62060,445,"#EFC000FF"
"20208",62061,1357,"white"
"20209",9485,165,"#CD534CFF"
"20210",27284,445,"#EFC000FF"
"20211",20632,165,"#CD534CFF"
"20212",5054,1406,"#7AA6DCFF"
"20213",20633,182,"#868686FF"
"20214",35227,182,"#868686FF"
"20215",16350,215,"#4A6990FF"
"20216",1742,116,"#0073C2FF"
"20217",62064,116,"#0073C2FF"
"20218",62065,182,"#868686FF"
"20219",9486,165,"#CD534CFF"
"20220",52899,165,"#CD534CFF"
"20221",42851,182,"#868686FF"
"20222",62066,165,"#CD534CFF"
"20223",12325,165,"#CD534CFF"
"20224",14382,165,"#CD534CFF"
"20225",33879,165,"#CD534CFF"
"20226",563,1406,"#7AA6DCFF"
"20227",62067,138,"#A73030FF"
"20228",48252,445,"#EFC000FF"
"20229",62068,584,"#3B3B3BFF"
"20230",62069,138,"#A73030FF"
"20231",42852,182,"#868686FF"
"20232",27291,116,"#0073C2FF"
"20233",62070,445,"#EFC000FF"
"20234",5060,1406,"#7AA6DCFF"
"20235",18682,165,"#CD534CFF"
"20236",20634,165,"#CD534CFF"
"20237",54478,1406,"#7AA6DCFF"
"20238",42853,182,"#868686FF"
"20239",22981,182,"#868686FF"
"20240",22982,182,"#868686FF"
"20241",16351,182,"#868686FF"
"20242",11142,445,"#EFC000FF"
"20243",5061,488,"#003C67FF"
"20244",9487,165,"#CD534CFF"
"20245",40836,584,"#3B3B3BFF"
"20246",62072,138,"#A73030FF"
"20247",1980,165,"#CD534CFF"
"20248",62073,533,"#8F7700FF"
"20249",62074,165,"#CD534CFF"
"20250",22517,182,"#868686FF"
"20251",37730,445,"#EFC000FF"
"20252",42857,182,"#868686FF"
"20253",5063,1406,"#7AA6DCFF"
"20254",62078,182,"#868686FF"
"20255",62079,215,"#4A6990FF"
"20256",15029,116,"#0073C2FF"
"20257",11026,116,"#0073C2FF"
"20258",62080,445,"#EFC000FF"
"20259",19385,215,"#4A6990FF"
"20260",62082,445,"#EFC000FF"
"20261",62083,445,"#EFC000FF"
"20262",62084,1358,"white"
"20263",62086,313,"white"
"20264",23213,182,"#868686FF"
"20265",5065,1406,"#7AA6DCFF"
"20266",48116,165,"#CD534CFF"
"20267",27303,116,"#0073C2FF"
"20268",62088,1359,"white"
"20269",62090,138,"#A73030FF"
"20270",27304,445,"#EFC000FF"
"20271",11807,182,"#868686FF"
"20272",62119,445,"#EFC000FF"
"20273",62120,138,"#A73030FF"
"20274",62121,182,"#868686FF"
"20275",33880,165,"#CD534CFF"
"20276",46867,165,"#CD534CFF"
"20277",11143,445,"#EFC000FF"
"20278",27306,116,"#0073C2FF"
"20279",15237,165,"#CD534CFF"
"20280",10248,584,"#3B3B3BFF"
"20281",62125,1360,"white"
"20282",62127,445,"#EFC000FF"
"20283",10835,165,"#CD534CFF"
"20284",62128,445,"#EFC000FF"
"20285",11509,445,"#EFC000FF"
"20286",62129,445,"#EFC000FF"
"20287",62130,116,"#0073C2FF"
"20288",62131,445,"#EFC000FF"
"20289",48117,165,"#CD534CFF"
"20290",27313,116,"#0073C2FF"
"20291",62132,445,"#EFC000FF"
"20292",62133,182,"#868686FF"
"20293",56850,165,"#CD534CFF"
"20294",20638,182,"#868686FF"
"20295",62134,445,"#EFC000FF"
"20296",54895,445,"#EFC000FF"
"20297",62135,1361,"white"
"20298",17905,165,"#CD534CFF"
"20299",20102,445,"#EFC000FF"
"20300",62141,182,"#868686FF"
"20301",42862,182,"#868686FF"
"20302",27318,116,"#0073C2FF"
"20303",10002,445,"#EFC000FF"
"20304",62144,445,"#EFC000FF"
"20305",8940,445,"#EFC000FF"
"20306",15030,116,"#0073C2FF"
"20307",62145,1362,"white"
"20308",62147,313,"white"
"20309",9209,116,"#0073C2FF"
"20310",56853,165,"#CD534CFF"
"20311",20639,165,"#CD534CFF"
"20312",9488,165,"#CD534CFF"
"20313",62148,138,"#A73030FF"
"20314",62149,445,"#EFC000FF"
"20315",27321,793,"white"
"20316",62150,445,"#EFC000FF"
"20317",424,445,"#EFC000FF"
"20318",55572,133,"white"
"20319",62151,182,"#868686FF"
"20320",62152,138,"#A73030FF"
"20321",55103,165,"#CD534CFF"
"20322",5072,1406,"#7AA6DCFF"
"20323",62153,138,"#A73030FF"
"20324",15648,584,"#3B3B3BFF"
"20325",20640,182,"#868686FF"
"20326",15203,182,"#868686FF"
"20327",62154,445,"#EFC000FF"
"20328",27328,445,"#EFC000FF"
"20329",5073,488,"#003C67FF"
"20330",62155,1460,"white"
"20331",62157,848,"white"
"20332",18332,165,"#CD534CFF"
"20333",27330,116,"#0073C2FF"
"20334",62159,445,"#EFC000FF"
"20335",54377,182,"#868686FF"
"20336",58828,138,"#A73030FF"
"20337",147,116,"#0073C2FF"
"20338",42868,182,"#868686FF"
"20339",60341,313,"white"
"20340",36122,841,"white"
"20341",13326,1406,"#7AA6DCFF"
"20342",61526,533,"#8F7700FF"
"20343",14384,165,"#CD534CFF"
"20344",62160,445,"#EFC000FF"
"20345",62161,445,"#EFC000FF"
"20346",13106,848,"white"
"20347",15238,165,"#CD534CFF"
"20348",62165,800,"white"
"20349",48920,138,"#A73030FF"
"20350",8941,445,"#EFC000FF"
"20351",62166,445,"#EFC000FF"
"20352",62167,445,"#EFC000FF"
"20353",20641,182,"#868686FF"
"20354",62169,138,"#A73030FF"
"20355",35416,445,"#EFC000FF"
"20356",62170,445,"#EFC000FF"
"20357",62171,165,"#CD534CFF"
"20358",62172,116,"#0073C2FF"
"20359",27345,138,"#A73030FF"
"20360",62173,182,"#868686FF"
"20361",10003,445,"#EFC000FF"
"20362",9489,165,"#CD534CFF"
"20363",10930,584,"#3B3B3BFF"
"20364",10886,445,"#EFC000FF"
"20365",11144,445,"#EFC000FF"
"20366",56856,165,"#CD534CFF"
"20367",62175,1363,"white"
"20368",15239,165,"#CD534CFF"
"20369",62177,445,"#EFC000FF"
"20370",62178,445,"#EFC000FF"
"20371",5079,1406,"#7AA6DCFF"
"20372",16354,215,"#4A6990FF"
"20373",15435,445,"#EFC000FF"
"20374",62180,445,"#EFC000FF"
"20375",36379,116,"#0073C2FF"
"20376",62181,533,"#8F7700FF"
"20377",42875,182,"#868686FF"
"20378",62182,488,"#003C67FF"
"20379",61805,848,"white"
"20380",13591,445,"#EFC000FF"
"20381",8942,445,"#EFC000FF"
"20382",27353,116,"#0073C2FF"
"20383",34925,215,"#4A6990FF"
"20384",27354,116,"#0073C2FF"
"20385",22542,182,"#868686FF"
"20386",17301,116,"#0073C2FF"
"20387",56859,165,"#CD534CFF"
"20388",62185,445,"#EFC000FF"
"20389",14156,182,"#868686FF"
"20390",62186,445,"#EFC000FF"
"20391",5084,1406,"#7AA6DCFF"
"20392",62187,116,"#0073C2FF"
"20393",12326,182,"#868686FF"
"20394",8943,848,"white"
"20395",13327,445,"#EFC000FF"
"20396",62205,116,"#0073C2FF"
"20397",62206,445,"#EFC000FF"
"20398",27359,116,"#0073C2FF"
"20399",62209,138,"#A73030FF"
"20400",1743,116,"#0073C2FF"
"20401",10609,116,"#0073C2FF"
"20402",53520,445,"#EFC000FF"
"20403",54525,182,"#868686FF"
"20404",62210,533,"#8F7700FF"
"20405",48921,138,"#A73030FF"
"20406",62211,1406,"#7AA6DCFF"
"20407",53521,445,"#EFC000FF"
"20408",42877,182,"#868686FF"
"20409",62212,488,"#003C67FF"
"20410",62213,445,"#EFC000FF"
"20411",62214,1364,"white"
"20412",5086,445,"#EFC000FF"
"20413",62216,138,"#A73030FF"
"20414",53994,165,"#CD534CFF"
"20415",62217,165,"#CD534CFF"
"20416",62218,535,"white"
"20417",33881,165,"#CD534CFF"
"20418",27367,488,"#003C67FF"
"20419",60564,182,"#868686FF"
"20420",20647,182,"#868686FF"
"20421",10816,116,"#0073C2FF"
"20422",62220,215,"#4A6990FF"
"20423",56863,165,"#CD534CFF"
"20424",10004,445,"#EFC000FF"
"20425",56864,165,"#CD534CFF"
"20426",40187,182,"#868686FF"
"20427",62221,165,"#CD534CFF"
"20428",42878,182,"#868686FF"
"20429",19568,488,"#003C67FF"
"20430",62223,182,"#868686FF"
"20431",56865,165,"#CD534CFF"
"20432",27370,116,"#0073C2FF"
"20433",62224,165,"#CD534CFF"
"20434",18333,165,"#CD534CFF"
"20435",23227,165,"#CD534CFF"
"20436",8944,445,"#EFC000FF"
"20437",1085,165,"#CD534CFF"
"20438",48057,182,"#868686FF"
"20439",55763,165,"#CD534CFF"
"20440",62225,138,"#A73030FF"
"20441",62226,533,"#8F7700FF"
"20442",37582,165,"#CD534CFF"
"20443",62227,313,"white"
"20444",27372,116,"#0073C2FF"
"20445",10458,584,"#3B3B3BFF"
"20446",62229,165,"#CD534CFF"
"20447",39164,116,"#0073C2FF"
"20448",62230,445,"#EFC000FF"
"20449",62231,138,"#A73030FF"
"20450",5091,182,"#868686FF"
"20451",42882,182,"#868686FF"
"20452",42883,182,"#868686FF"
"20453",5092,1406,"#7AA6DCFF"
"20454",33882,165,"#CD534CFF"
"20455",1086,584,"#3B3B3BFF"
"20456",53154,203,"white"
"20457",51390,445,"#EFC000FF"
"20458",56869,165,"#CD534CFF"
"20459",20649,182,"#868686FF"
"20460",5093,445,"#EFC000FF"
"20461",62236,215,"#4A6990FF"
"20462",38526,165,"#CD534CFF"
"20463",48450,165,"#CD534CFF"
"20464",62237,1365,"white"
"20465",17906,182,"#868686FF"
"20466",51391,445,"#EFC000FF"
"20467",62240,182,"#868686FF"
"20468",62241,584,"#3B3B3BFF"
"20469",18683,165,"#CD534CFF"
"20470",62242,445,"#EFC000FF"
"20471",5096,1406,"#7AA6DCFF"
"20472",56871,165,"#CD534CFF"
"20473",62243,138,"#A73030FF"
"20474",62244,263,"white"
"20475",62245,394,"white"
"20476",5097,1406,"#7AA6DCFF"
"20477",62248,584,"#3B3B3BFF"
"20478",62249,445,"#EFC000FF"
"20479",62250,138,"#A73030FF"
"20480",33883,165,"#CD534CFF"
"20481",62251,182,"#868686FF"
"20482",14157,182,"#868686FF"
"20483",62252,445,"#EFC000FF"
"20484",11511,445,"#EFC000FF"
"20485",56873,848,"white"
"20486",41333,165,"#CD534CFF"
"20487",36252,165,"#CD534CFF"
"20488",27386,116,"#0073C2FF"
"20489",11885,165,"#CD534CFF"
"20490",10931,445,"#EFC000FF"
"20491",62253,204,"white"
"20492",61015,1343,"white"
"20493",47764,182,"#868686FF"
"20494",62254,1366,"white"
"20495",62256,488,"#003C67FF"
"20496",55191,165,"#CD534CFF"
"20497",22812,165,"#CD534CFF"
"20498",53775,182,"#868686FF"
"20499",20651,182,"#868686FF"
"20500",2252,182,"#868686FF"
"20501",60014,445,"#EFC000FF"
"20502",22518,165,"#CD534CFF"
"20503",62257,445,"#EFC000FF"
"20504",47196,445,"#EFC000FF"
"20505",8272,165,"#CD534CFF"
"20506",62258,445,"#EFC000FF"
"20507",52073,165,"#CD534CFF"
"20508",27390,488,"#003C67FF"
"20509",8167,215,"#4A6990FF"
"20510",62261,138,"#A73030FF"
"20511",1087,445,"#EFC000FF"
"20512",1603,533,"#8F7700FF"
"20513",12957,488,"#003C67FF"
"20514",14684,165,"#CD534CFF"
"20515",33885,165,"#CD534CFF"
"20516",20652,182,"#868686FF"
"20517",22983,182,"#868686FF"
"20518",36253,182,"#868686FF"
"20519",62262,182,"#868686FF"
"20520",16356,182,"#868686FF"
"20521",62263,205,"white"
"20522",10502,182,"#868686FF"
"20523",62265,206,"white"
"20524",60439,207,"white"
"20525",1744,116,"#0073C2FF"
"20526",62268,488,"#003C67FF"
"20527",62269,182,"#868686FF"
"20528",56350,182,"#868686FF"
"20529",62271,1367,"white"
"20530",18684,165,"#CD534CFF"
"20531",62273,584,"#3B3B3BFF"
"20532",5103,1406,"#7AA6DCFF"
"20533",62274,445,"#EFC000FF"
"20534",49936,445,"#EFC000FF"
"20535",51149,445,"#EFC000FF"
"20536",42890,182,"#868686FF"
"20537",27398,116,"#0073C2FF"
"20538",16865,116,"#0073C2FF"
"20539",46233,165,"#CD534CFF"
"20540",14385,165,"#CD534CFF"
"20541",62276,445,"#EFC000FF"
"20542",62277,1406,"#7AA6DCFF"
"20543",49658,445,"#EFC000FF"
"20544",62278,445,"#EFC000FF"
"20545",62279,215,"#4A6990FF"
"20546",47438,445,"#EFC000FF"
"20547",1981,165,"#CD534CFF"
"20548",62285,445,"#EFC000FF"
"20549",56877,165,"#CD534CFF"
"20550",62286,215,"#4A6990FF"
"20551",62287,445,"#EFC000FF"
"20552",55823,182,"#868686FF"
"20553",10854,445,"#EFC000FF"
"20554",478,165,"#CD534CFF"
"20555",62291,445,"#EFC000FF"
"20556",14387,165,"#CD534CFF"
"20557",1745,116,"#0073C2FF"
"20558",1586,445,"#EFC000FF"
"20559",8273,165,"#CD534CFF"
"20560",52439,445,"#EFC000FF"
"20561",20653,182,"#868686FF"
"20562",62304,445,"#EFC000FF"
"20563",20654,182,"#868686FF"
"20564",21978,533,"#8F7700FF"
"20565",58878,182,"#868686FF"
"20566",42893,182,"#868686FF"
"20567",8168,215,"#4A6990FF"
"20568",62306,165,"#CD534CFF"
"20569",8274,165,"#CD534CFF"
"20570",62307,1368,"white"
"20571",62309,445,"#EFC000FF"
"20572",14685,165,"#CD534CFF"
"20573",20655,165,"#CD534CFF"
"20574",62310,445,"#EFC000FF"
"20575",8275,165,"#CD534CFF"
"20576",8519,116,"#0073C2FF"
"20577",37732,445,"#EFC000FF"
"20578",62311,313,"white"
"20579",8946,116,"#0073C2FF"
"20580",62312,1406,"#7AA6DCFF"
"20581",62313,445,"#EFC000FF"
"20582",36927,1092,"white"
"20583",62314,445,"#EFC000FF"
"20584",62315,220,"white"
"20585",35638,138,"#A73030FF"
"20586",62316,488,"#003C67FF"
"20587",33402,848,"white"
"20588",50243,445,"#EFC000FF"
"20589",62317,445,"#EFC000FF"
"20590",42897,182,"#868686FF"
"20591",62318,445,"#EFC000FF"
"20592",62319,445,"#EFC000FF"
"20593",14158,165,"#CD534CFF"
"20594",8276,165,"#CD534CFF"
"20595",50110,215,"#4A6990FF"
"20596",61301,182,"#868686FF"
"20597",22242,116,"#0073C2FF"
"20598",16357,215,"#4A6990FF"
"20599",62321,445,"#EFC000FF"
"20600",38955,182,"#868686FF"
"20601",12327,182,"#868686FF"
"20602",20657,182,"#868686FF"
"20603",11512,488,"#003C67FF"
"20604",62330,445,"#EFC000FF"
"20605",15031,182,"#868686FF"
"20606",11028,445,"#EFC000FF"
"20607",62332,988,"white"
"20608",47833,533,"#8F7700FF"
"20609",62336,208,"white"
"20610",42900,182,"#868686FF"
"20611",1088,584,"#3B3B3BFF"
"20612",1746,116,"#0073C2FF"
"20613",33886,165,"#CD534CFF"
"20614",11513,445,"#EFC000FF"
"20615",27415,116,"#0073C2FF"
"20616",27416,116,"#0073C2FF"
"20617",27421,116,"#0073C2FF"
"20618",5116,1406,"#7AA6DCFF"
"20619",47412,292,"white"
"20620",40411,165,"#CD534CFF"
"20621",60342,313,"white"
"20622",58770,165,"#CD534CFF"
"20623",62338,445,"#EFC000FF"
"20624",62339,138,"#A73030FF"
"20625",62340,1369,"white"
"20626",8947,445,"#EFC000FF"
"20627",16866,165,"#CD534CFF"
"20628",16358,182,"#868686FF"
"20629",62342,488,"#003C67FF"
"20630",62343,209,"white"
"20631",58881,182,"#868686FF"
"20632",62344,445,"#EFC000FF"
"20633",62345,445,"#EFC000FF"
"20634",62346,445,"#EFC000FF"
"20635",62347,1569,"white"
"20636",61036,445,"#EFC000FF"
"20637",27429,138,"#A73030FF"
"20638",56886,165,"#CD534CFF"
"20639",20659,182,"#868686FF"
"20640",62349,138,"#A73030FF"
"20641",1587,445,"#EFC000FF"
"20642",15328,182,"#868686FF"
"20643",60168,445,"#EFC000FF"
"20644",33887,165,"#CD534CFF"
"20645",62359,1406,"#7AA6DCFF"
"20646",10932,445,"#EFC000FF"
"20647",62360,182,"#868686FF"
"20648",62361,165,"#CD534CFF"
"20649",42903,182,"#868686FF"
"20650",11145,445,"#EFC000FF"
"20651",10610,116,"#0073C2FF"
"20652",13148,445,"#EFC000FF"
"20653",15649,215,"#4A6990FF"
"20654",15436,584,"#3B3B3BFF"
"20655",38035,165,"#CD534CFF"
"20656",42904,182,"#868686FF"
"20657",42905,182,"#868686FF"
"20658",61487,116,"#0073C2FF"
"20659",8106,533,"#8F7700FF"
"20660",27440,116,"#0073C2FF"
"20661",27441,116,"#0073C2FF"
"20662",564,116,"#0073C2FF"
"20663",11514,445,"#EFC000FF"
"20664",27444,116,"#0073C2FF"
"20665",62370,445,"#EFC000FF"
"20666",5127,488,"#003C67FF"
"20667",14893,533,"#8F7700FF"
"20668",62371,445,"#EFC000FF"
"20669",18685,165,"#CD534CFF"
"20670",12560,182,"#868686FF"
"20671",62373,211,"white"
"20672",46925,584,"#3B3B3BFF"
"20673",20661,182,"#868686FF"
"20674",8948,445,"#EFC000FF"
"20675",62375,445,"#EFC000FF"
"20676",16360,215,"#4A6990FF"
"20677",34582,1343,"white"
"20678",62376,445,"#EFC000FF"
"20679",62378,1370,"white"
"20680",62380,215,"#4A6990FF"
"20681",53522,445,"#EFC000FF"
"20682",62381,445,"#EFC000FF"
"20683",62382,116,"#0073C2FF"
"20684",20662,182,"#868686FF"
"20685",62383,410,"white"
"20686",8949,445,"#EFC000FF"
"20687",62384,445,"#EFC000FF"
"20688",27453,182,"#868686FF"
"20689",42908,182,"#868686FF"
"20690",717,488,"#003C67FF"
"20691",22984,182,"#868686FF"
"20692",62385,116,"#0073C2FF"
"20693",5132,1406,"#7AA6DCFF"
"20694",5133,1406,"#7AA6DCFF"
"20695",62386,1371,"white"
"20696",20663,182,"#868686FF"
"20697",59205,165,"#CD534CFF"
"20698",56890,165,"#CD534CFF"
"20699",62388,1372,"white"
"20700",38169,488,"#003C67FF"
"20701",62390,1406,"#7AA6DCFF"
"20702",27459,116,"#0073C2FF"
"20703",56891,182,"#868686FF"
"20704",58884,182,"#868686FF"
"20705",20664,182,"#868686FF"
"20706",62392,212,"white"
"20707",14159,165,"#CD534CFF"
"20708",62393,215,"#4A6990FF"
"20709",19696,165,"#CD534CFF"
"20710",62394,445,"#EFC000FF"
"20711",937,445,"#EFC000FF"
"20712",50928,165,"#CD534CFF"
"20713",62395,445,"#EFC000FF"
"20714",62396,445,"#EFC000FF"
"20715",27462,116,"#0073C2FF"
"20716",62397,165,"#CD534CFF"
"20717",15329,116,"#0073C2FF"
"20718",62398,445,"#EFC000FF"
"20719",62399,445,"#EFC000FF"
"20720",62400,445,"#EFC000FF"
"20721",22186,182,"#868686FF"
"20722",62401,445,"#EFC000FF"
"20723",62402,445,"#EFC000FF"
"20724",62403,182,"#868686FF"
"20725",62404,138,"#A73030FF"
"20726",62405,138,"#A73030FF"
"20727",62406,445,"#EFC000FF"
"20728",5140,1406,"#7AA6DCFF"
"20729",12252,165,"#CD534CFF"
"20730",17418,445,"#EFC000FF"
"20731",2110,445,"#EFC000FF"
"20732",36863,215,"#4A6990FF"
"20733",20665,182,"#868686FF"
"20734",62407,213,"white"
"20735",62408,340,"white"
"20736",20666,182,"#868686FF"
"20737",62410,138,"#A73030FF"
"20738",62411,138,"#A73030FF"
"20739",27469,116,"#0073C2FF"
"20740",42913,182,"#868686FF"
"20741",62412,1460,"white"
"20742",27473,116,"#0073C2FF"
"20743",51281,165,"#CD534CFF"
"20744",62413,138,"#A73030FF"
"20745",27474,116,"#0073C2FF"
"20746",34738,165,"#CD534CFF"
"20747",62414,445,"#EFC000FF"
"20748",10005,445,"#EFC000FF"
"20749",14388,165,"#CD534CFF"
"20750",62415,306,"white"
"20751",27475,410,"white"
"20752",1089,165,"#CD534CFF"
"20753",62417,138,"#A73030FF"
"20754",47885,165,"#CD534CFF"
"20755",36255,182,"#868686FF"
"20756",62418,445,"#EFC000FF"
"20757",62419,445,"#EFC000FF"
"20758",27476,116,"#0073C2FF"
"20759",11516,445,"#EFC000FF"
"20760",55203,215,"#4A6990FF"
