"","vertex","cluster","color"
"195",1575,445,"#EFC000FF"
"196",1577,116,"#0073C2FF"
"197",1579,445,"#EFC000FF"
"198",1581,116,"#0073C2FF"
"199",1583,445,"#EFC000FF"
"200",1591,1406,"#7AA6DCFF"
"201",1592,1406,"#7AA6DCFF"
"202",1593,165,"#CD534CFF"
"203",1595,595,"white"
"204",1599,116,"#0073C2FF"
"205",1600,32,"white"
"206",1602,533,"#8F7700FF"
"207",1604,116,"#0073C2FF"
"208",1605,1406,"#7AA6DCFF"
"209",1609,1406,"#7AA6DCFF"
"210",1610,584,"#3B3B3BFF"
"211",1611,488,"#003C67FF"
"212",1613,445,"#EFC000FF"
"213",1614,1406,"#7AA6DCFF"
"214",1615,445,"#EFC000FF"
"215",1618,1406,"#7AA6DCFF"
"216",1621,445,"#EFC000FF"
"217",1622,116,"#0073C2FF"
"218",1822,533,"#8F7700FF"
"219",1823,445,"#EFC000FF"
"220",1824,116,"#0073C2FF"
"221",1825,596,"white"
"222",1827,597,"white"
"223",1829,116,"#0073C2FF"
"224",1831,116,"#0073C2FF"
"225",1833,116,"#0073C2FF"
"226",1834,182,"#868686FF"
"227",1836,533,"#8F7700FF"
"228",1863,116,"#0073C2FF"
"229",1864,598,"white"
"230",1866,1406,"#7AA6DCFF"
"231",1867,445,"#EFC000FF"
"232",1868,445,"#EFC000FF"
"233",1869,445,"#EFC000FF"
"234",1873,116,"#0073C2FF"
"235",1883,445,"#EFC000FF"
"236",1884,165,"#CD534CFF"
"237",1893,445,"#EFC000FF"
"238",1894,599,"white"
"239",1896,533,"#8F7700FF"
"240",1898,1406,"#7AA6DCFF"
"241",1899,533,"#8F7700FF"
"242",1900,533,"#8F7700FF"
"243",1903,445,"#EFC000FF"
"244",1904,264,"white"
"245",1906,116,"#0073C2FF"
"246",1908,445,"#EFC000FF"
"247",1909,584,"#3B3B3BFF"
"248",1910,445,"#EFC000FF"
"249",925,445,"#EFC000FF"
"250",656,445,"#EFC000FF"
"251",1923,1406,"#7AA6DCFF"
"252",1925,584,"#3B3B3BFF"
"253",1927,600,"white"
"254",1929,165,"#CD534CFF"
"255",1934,116,"#0073C2FF"
"256",1935,1406,"#7AA6DCFF"
"257",1937,182,"#868686FF"
"258",1938,165,"#CD534CFF"
"259",2025,445,"#EFC000FF"
"260",2026,1406,"#7AA6DCFF"
"261",2027,165,"#CD534CFF"
"262",2042,445,"#EFC000FF"
"263",2045,445,"#EFC000FF"
"264",2046,1406,"#7AA6DCFF"
"265",2047,533,"#8F7700FF"
"266",2049,445,"#EFC000FF"
"267",2201,838,"white"
"268",2203,2,"white"
"269",2204,182,"#868686FF"
"270",2208,848,"white"
"271",2210,1406,"#7AA6DCFF"
"272",2211,165,"#CD534CFF"
"273",2213,1406,"#7AA6DCFF"
"274",2214,445,"#EFC000FF"
"275",2218,445,"#EFC000FF"
"276",2220,116,"#0073C2FF"
"277",2222,601,"white"
"278",1431,584,"#3B3B3BFF"
"279",2322,116,"#0073C2FF"
"280",2323,848,"white"
"281",536,116,"#0073C2FF"
"282",39,1406,"#7AA6DCFF"
"283",7847,584,"#3B3B3BFF"
"284",7848,165,"#CD534CFF"
"285",7849,445,"#EFC000FF"
"286",7850,116,"#0073C2FF"
"287",7851,445,"#EFC000FF"
"288",7853,445,"#EFC000FF"
"289",2338,1406,"#7AA6DCFF"
"290",7858,326,"white"
"291",622,445,"#EFC000FF"
"292",7861,445,"#EFC000FF"
"293",7862,445,"#EFC000FF"
"294",7865,488,"#003C67FF"
"295",7873,751,"white"
"296",7874,1406,"#7AA6DCFF"
"297",2340,1406,"#7AA6DCFF"
"298",7879,116,"#0073C2FF"
"299",7880,445,"#EFC000FF"
"300",7881,445,"#EFC000FF"
"301",7882,445,"#EFC000FF"
"302",7884,584,"#3B3B3BFF"
"303",7886,165,"#CD534CFF"
"304",7889,445,"#EFC000FF"
"305",7891,602,"white"
"306",7893,445,"#EFC000FF"
"307",7894,445,"#EFC000FF"
"308",7896,182,"#868686FF"
"309",7898,165,"#CD534CFF"
"310",7899,1406,"#7AA6DCFF"
"311",7913,1406,"#7AA6DCFF"
"312",7914,116,"#0073C2FF"
"313",7915,1406,"#7AA6DCFF"
"314",7916,182,"#868686FF"
"315",7917,445,"#EFC000FF"
"316",7918,1406,"#7AA6DCFF"
"317",7919,445,"#EFC000FF"
"318",7920,116,"#0073C2FF"
"319",7921,116,"#0073C2FF"
"320",7922,116,"#0073C2FF"
"321",7927,182,"#868686FF"
"322",967,165,"#CD534CFF"
"323",7941,116,"#0073C2FF"
"324",7943,533,"#8F7700FF"
"325",7944,116,"#0073C2FF"
"326",7947,445,"#EFC000FF"
"327",7953,603,"white"
"328",7955,751,"white"
"329",7956,116,"#0073C2FF"
"330",7957,848,"white"
"331",1832,116,"#0073C2FF"
"332",2341,1406,"#7AA6DCFF"
"333",2342,116,"#0073C2FF"
"334",8023,445,"#EFC000FF"
"335",8025,394,"white"
"336",8024,445,"#EFC000FF"
"337",8026,445,"#EFC000FF"
"338",8027,116,"#0073C2FF"
"339",8028,116,"#0073C2FF"
"340",8029,165,"#CD534CFF"
"341",8031,445,"#EFC000FF"
"342",8032,116,"#0073C2FF"
"343",2343,1406,"#7AA6DCFF"
"344",8033,138,"#A73030FF"
"345",8034,165,"#CD534CFF"
"346",8035,445,"#EFC000FF"
"347",2345,1406,"#7AA6DCFF"
"348",8037,591,"white"
"349",8038,445,"#EFC000FF"
"350",8039,165,"#CD534CFF"
"351",8042,533,"#8F7700FF"
"352",2346,584,"#3B3B3BFF"
"353",8043,116,"#0073C2FF"
"354",8044,165,"#CD534CFF"
"355",8045,182,"#868686FF"
"356",8046,1343,"white"
"357",8048,116,"#0073C2FF"
"358",8050,445,"#EFC000FF"
"359",8052,604,"white"
"360",8077,116,"#0073C2FF"
"361",2347,1406,"#7AA6DCFF"
"362",2348,445,"#EFC000FF"
"363",8080,445,"#EFC000FF"
"364",8081,116,"#0073C2FF"
"365",8082,533,"#8F7700FF"
"366",8083,1406,"#7AA6DCFF"
"367",8084,116,"#0073C2FF"
"368",8085,116,"#0073C2FF"
"369",8086,182,"#868686FF"
"370",8087,445,"#EFC000FF"
"371",8088,533,"#8F7700FF"
"372",755,488,"#003C67FF"
"373",8090,116,"#0073C2FF"
"374",8094,165,"#CD534CFF"
"375",8097,445,"#EFC000FF"
"376",8098,1406,"#7AA6DCFF"
"377",8100,445,"#EFC000FF"
"378",8102,605,"white"
"379",8104,533,"#8F7700FF"
"380",8115,606,"white"
"381",8117,182,"#868686FF"
"382",8118,182,"#868686FF"
